@relation Forehead

@attribute CM[0] numeric
@attribute CM[1] numeric
@attribute CM[4] numeric
@attribute class numeric

@data
1483545,21600000000000000,-1300000000,14.4
1659476,27100000000000000,1050000000,6.1
1292869,16400000000000000,158000000,3.1
1765729,30600000000000000,-665000000,13.8
1689487,28100000000000000,977000000,10.9
1326056,17100000000000000,1580000000,7.8
1181694,13700000000000000,984000000,11.3
1168472,13400000000000000,-1720000000,11.3
1495586,22000000000000000,-1710000000,9.3
1309540,16900000000000000,-1400000000,7.9
1592026,24600000000000000,1710000000,11.1
1597401,24800000000000000,1570000000,12.9
1647963,26300000000000000,1790000000,0
1641163,26100000000000000,-1430000000,6.6
1432707,19900000000000000,-1870000000,10.9
1657699,26700000000000000,-310000000,9.5
1633563,25900000000000000,-71600000,7
1486177,21400000000000000,566000000,7.7
1588302,24800000000000000,1520000000,18.2
1775706,31000000000000000,471000000,10
1764840,30600000000000000,531000000,11.9
1531628,23100000000000000,-1430000000,3
1669433,27400000000000000,919000000,2.9
1581435,24600000000000000,498000000,8.8
1388652,19000000000000000,2060000000,8.2
1165913,13400000000000000,-2120000000,9.1
1711943,28800000000000000,1240000000,8.8
1683565,27900000000000000,1100000000,10.5
1401766,19300000000000000,-1640000000,7.5
1673679,27200000000000000,147000000,2.2
1208149,14200000000000000,1900000000,12.4
1385479,18900000000000000,-1370000000,9.5
1934696,36800000000000000,584000000,12.2
1577417,24500000000000000,-1100000000,11.6
1736512,29600000000000000,-771000000,21.1
1725324,29300000000000000,-991000000,13.3
1549507,23600000000000000,120000000,10.4
816309,3180000000000000,-1170000000,10.5
1714967,28900000000000000,645000000,4
1759062,30400000000000000,1470000000,8.4
1754886,30300000000000000,-1680000000,6
1408240,19500000000000000,156000000,12
1574278,24400000000000000,160000000,13.5
1872059,34400000000000000,39000000,7.5
1576116,24400000000000000,205000000,13.1
1396186,19200000000000000,-148000000,18
1861929,34100000000000000,823000000,7.9
1486248,21700000000000000,-572000000,13.9
1787517,31400000000000000,-1810000000,6
1815885,32400000000000000,-870000000,9.6
1118268,12300000000000000,-957000000,11.2
1361925,18200000000000000,612000000,8.5
1204497,14300000000000000,-658000000,11
1606477,25400000000000000,-1100000000,6.8
