@relation 'Sternum withoit cm0'

@attribute ColorDistribution numeric
@attribute CM[1] numeric
@attribute CM[4] numeric
@attribute class numeric

@data
0.005348,19600000000000000,932000000,14
0.005405,13900000000000000,1820000000,8.3
0.005025,17200000000000000,-367000000,3.9
0.004902,21100000000000000,-1410000000,15.3
0.004831,15700000000000000,-1540000000,11.1
0.007092,37500000000000000,-1770000000,8.5
0.005587,12000000000000000,-637000000,7.3
0.005587,16100000000000000,1340000000,11.1
0.00495,16100000000000000,-1210000000,9.7
0.005025,19900000000000000,-1390000000,8.7
0.007299,24000000000000000,-1020000000,10.3
0.00625,20700000000000000,-113000000,11.2
0.006289,24300000000000000,-1590000000,0
0.008333,15200000000000000,1880000000,7.9
0.006061,20600000000000000,1880000000,12.2
0.006536,20600000000000000,-1020000000,12.5
0.004545,20700000000000000,-597000000,8
0.004695,20500000000000000,-1090000000,7.1
0.005051,22000000000000000,107000000,19.2
0.005263,23000000000000000,1200000000,10.5
0.005525,23800000000000000,1170000000,10.7
0.005376,22000000000000000,-1780000000,4
0.004082,17600000000000000,544000000,0
0.004878,21900000000000000,727000000,8.1
0.005495,17400000000000000,-1560000000,9.2
0.005348,20300000000000000,-777000000,7.8
0.004525,20700000000000000,-557000000,8.1
0.005464,15400000000000000,-1290000000,11.2
0.004405,24000000000000000,-122000000,9.2
0.005952,20100000000000000,1690000000,1.2
0.005988,22600000000000000,1110000000,14.6
0.004274,20800000000000000,-484000000,7.5
0.004695,17100000000000000,-185000000,13.2
0.004854,17300000000000000,1400000000,10.4
0.004695,20300000000000000,1060000000,21.4
0.005051,16900000000000000,1070000000,11
0.004425,15100000000000000,21100000,12.4
0.005882,13700000000000000,-1370000000,9.8
0.004255,20900000000000000,-325000000,5
0.004808,18400000000000000,-1860000000,8.3
0.00463,17400000000000000,-385000000,6
0.004902,17600000000000000,1390000000,11
0.003953,26100000000000000,-2110000000,11.2
0.006452,4390000000000000,1860000000,8
0.00565,17600000000000000,-179000000,11.2
0.004219,21600000000000000,1370000000,17
0.004975,19400000000000000,571000000,7.8
0.007576,19400000000000000,1240000000,13.1
0.004329,17500000000000000,2100000000,7.4
0.004167,19800000000000000,62700000,7.2
0.004425,22600000000000000,-1250000000,14
0.005376,16200000000000000,-1550000000,11
0.004854,17900000000000000,2130000000,11.2
0.005882,21600000000000000,1040000000,2.6
0.005348,17000000000000000,1040000000,11.3
0.004673,21800000000000000,-133000000,11
0.006803,22300000000000000,-816000000,2.5
0.004831,21900000000000000,-932000000,9
0.00431,21600000000000000,1960000000,17.7
0.004255,15200000000000000,-1310000000,13.2
0.004854,24200000000000000,-640000000,18.1
0.004464,20100000000000000,1480000000,11
0.006173,22000000000000000,1890000000,14
0.004329,16300000000000000,-1470000000,8.3
0.005051,18500000000000000,559000000,3.9
0.005495,17600000000000000,633000000,15.3
0.004386,16000000000000000,-59700000,11.1
0.007092,37500000000000000,-1770000000,8.5
0.007143,13700000000000000,-1600000000,7.3
0.006211,11200000000000000,886000000,11.1
0.006993,22300000000000000,996000000,9.7
0.006711,22200000000000000,1320000000,8.7
0.007299,24000000000000000,-1020000000,10.3
0.00625,20700000000000000,-113000000,11.2
0.006289,24300000000000000,-1590000000,0
0.008333,15200000000000000,1880000000,7.9
0.006061,20600000000000000,1880000000,12.2
0.006536,20600000000000000,-1020000000,12.5
0.004545,20700000000000000,-597000000,8
